Text-values,Numerical-values
"The context with the session id [session-540] scope type [null] is currently used in thread Thread-365174 [0x5b6fd].Current thread is SAPWMker 8692 Thread [0x9f34].),  |","[[  21  149   20   21  100  150  100 1645  151   60  125    2   48  152
    17   38   38 1646 1647  153   38    2  424 1648   38 1649]]"
"Order 520592619 is currently being processed .), BAPI call must have a SAVE or DIALOG method |","[[  13 1650    2   48   37   33   78   54  117   46   36   95   56   59
    44]]"
"The context with the session id [session-17] scope type [null] is currently used in thread Thread-19122 [0x5390].Current thread is SAPWMker 9108 Thread [0x2d14].),  |","[[  21  149   20   21  100  150  100  106  151   60  125    2   48  152
    17   38   38 1651 1652  153   38    2  424 1653   38 1654]]"
"00000000000000000001 confirmations are incorrect. For details see parameter DETAIL_RETURN), Order 520451089 is already being processed by E0012048 |","[[  93   94   62   71    3   55   80   81   82   72   13 1655    2   57
    37   33   31 1656]]"
"Order 520559950 is locked and cannot be changed), Order 520559950 is locked and cannot be changed |",[[ 13 599   2  10  27  22   4  23  51  13 599   2  10  27  22   4  23  51]]
"The context with the session id [session-621] scope type [null] is currently used in thread Thread-286163 [0x4e69c].Current thread is SAPWMker 9544 Thread [0xb6ba].),  |","[[  21  149   20   21  100  150  100 1657  151   60  125    2   48  152
    17   38   38 1658 1659  153   38    2  424 1660   38 1661]]"
"Order 520622119 is currently being processed .), BAPI call must have a SAVE or DIALOG method |","[[  13 1662    2   48   37   33   78   54  117   46   36   95   56   59
    44]]"
"Order 520592294 is currently being processed .), BAPI call must have a SAVE or DIALOG method |","[[  13 1663    2   48   37   33   78   54  117   46   36   95   56   59
    44]]"
"Order 520567033 is locked and cannot be changed),  |",[[  13 1664    2   10   27   22    4   23   51]]
"Order 520598833 is currently being processed .), BAPI call must have a SAVE or DIALOG method |","[[  13 1665    2   48   37   33   78   54  117   46   36   95   56   59
    44]]"
"Notification 000430082522 is not locked),  |",[[  11 1666    2    4   10]]
"Notification 000430082823 is not locked),  |",[[  11 1667    2    4   10]]
"Notification 000430082725 is not locked),  |",[[  11 1668    2    4   10]]
"Notification 000430081694 is not locked),  |",[[  11 1669    2    4   10]]
"Notification 000430081755 is not locked),  |",[[  11 1670    2    4   10]]
"Notification 000430081083 is not locked),  |",[[  11 1671    2    4   10]]
"Notification 000430083556 is not locked),  |",[[  11 1672    2    4   10]]
"Notification 000430083539 is not locked),  |",[[  11 1673    2    4   10]]
"Notification 000430082292 is not locked),  |",[[  11 1674    2    4   10]]
"Notification 000430081902 is not locked),  |",[[  11 1675    2    4   10]]
"Notification 000430081903 is not locked),  |",[[  11 1676    2    4   10]]
"Notification 000430082107 is not locked),  |",[[  11 1677    2    4   10]]
"Notification 000430081894 is not locked),  |",[[  11 1678    2    4   10]]
"Notification 000430083302 is not locked),  |",[[  11 1679    2    4   10]]
"Notification 000430083308 is not locked),  |",[[  11 1680    2    4   10]]
"Notification 000430084796 is not locked),  |",[[  11 1681    2    4   10]]
"Notification 000430084756 is not locked),  |",[[  11 1682    2    4   10]]
"Notification 000430085117 is not locked),  |",[[  11 1683    2    4   10]]
"Notification 000430085813 is not locked),  |",[[  11 1684    2    4   10]]
"Notification 000430083815 is not locked),  |",[[  11 1685    2    4   10]]
"Notification 000430083259 is not locked),  |",[[  11 1686    2    4   10]]
"Notification 000430084081 is not locked),  |",[[  11 1687    2    4   10]]
"Notification 000430085430 is not locked),  |",[[  11 1688    2    4   10]]
"Notification 000430085433 is not locked),  |",[[  11 1689    2    4   10]]
"Notification 000430085129 is not locked),  |",[[  11 1690    2    4   10]]
"Notification 000430083353 is not locked),  |",[[  11 1691    2    4   10]]
"Notification 000430083635 is not locked),  |",[[  11 1692    2    4   10]]
"Notification 000430082190 is not locked),  |",[[  11 1693    2    4   10]]
"Notification 000430082935 is not locked),  |",[[  11 1694    2    4   10]]
"Notification 000430083938 is not locked),  |",[[  11 1695    2    4   10]]
"Notification 000430082315 is not locked),  |",[[  11 1696    2    4   10]]
"Notification 000430085925 is not locked),  |",[[  11 1697    2    4   10]]
"Notification 000430083327 is not locked),  |",[[  11 1698    2    4   10]]
"Notification 000430085979 is not locked),  |",[[  11 1699    2    4   10]]
"Notification 000430084295 is not locked),  |",[[  11 1700    2    4   10]]
"Notification 000430084333 is not locked),  |",[[  11 1701    2    4   10]]
"Notification 000430085742 is not locked),  |",[[  11 1702    2    4   10]]
"Notification 000430082154 is not locked),  |",[[  11 1703    2    4   10]]
"Notification 000430085197 is not locked),  |",[[  11 1704    2    4   10]]
"Notification 000430083062 is not locked),  |",[[  11 1705    2    4   10]]
"Notification 000430083245 is not locked),  |",[[  11 1706    2    4   10]]
"Notification 000430083391 is not locked),  |",[[  11 1707    2    4   10]]
"Notification 000430082300 is not locked),  |",[[  11 1708    2    4   10]]
"Notification 000430084379 is not locked),  |",[[  11 1709    2    4   10]]
"Notification 000430084961 is not locked),  |",[[  11 1710    2    4   10]]
"Notification 000430084445 is not locked),  |",[[  11 1711    2    4   10]]
"Notification 000430086017 is not locked),  |",[[  11 1712    2    4   10]]
"Notification 000430086135 is not locked),  |",[[  11 1713    2    4   10]]
"Notification 000430084649 is not locked),  |",[[  11 1714    2    4   10]]
"Notification 000430082789 is not locked),  |",[[  11 1715    2    4   10]]
"Notification 000430085536 is not locked),  |",[[  11 1716    2    4   10]]
"Notification 000430081583 is not locked),  |",[[  11 1717    2    4   10]]
"Notification 000430085281 is not locked),  |",[[  11 1718    2    4   10]]
"Notification 000430082046 is not locked),  |",[[  11 1719    2    4   10]]
"Notification 000430081349 is not locked),  |",[[  11 1720    2    4   10]]
"Notification 000430081381 is not locked),  |",[[  11 1721    2    4   10]]
"Notification 000430081273 is not locked),  |",[[  11 1722    2    4   10]]
"Notification 000430084902 is not locked),  |",[[  11 1723    2    4   10]]
"Notification 000430081844 is not locked),  |",[[  11 1724    2    4   10]]
"Notification 000430084334 is not locked),  |",[[  11 1725    2    4   10]]
"Notification 000430084891 is not locked),  |",[[  11 1726    2    4   10]]
"Notification 000430083061 is not locked),  |",[[  11 1727    2    4   10]]
"Notification 000430083055 is not locked),  |",[[  11 1728    2    4   10]]
"Notification 000430085729 is not locked),  |",[[  11 1729    2    4   10]]
"Notification 000430085975 is not locked),  |",[[  11 1730    2    4   10]]
"Notification 000430086256 is not locked),  |",[[  11 1731    2    4   10]]
"Notification 000430081979 is not locked),  |",[[  11 1732    2    4   10]]
"Notification 000430085320 is not locked),  |",[[  11 1733    2    4   10]]
"Notification 000430082118 is not locked),  |",[[  11 1734    2    4   10]]
"Notification 000430081429 is not locked),  |",[[  11 1735    2    4   10]]
"Notification 000430082504 is not locked),  |",[[  11 1736    2    4   10]]
Notification 000210293764 is not locked,[[  11 1737    2    4   10]]
Notification 000210293832 is not locked,[[  11 1738    2    4   10]]
Notification 000210298173 is not locked,[[  11 1739    2    4   10]]
26.08.2020 20:05:06  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  69 107 115   7   6   1  14   3   9   1  12]]
26.08.2020 20:05:19  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  69 107  61   7   6   1  14   3   9   1  12]]
26.08.2020 20:05:26  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  69 107  87   7   6   1  14   3   9   1  12]]
26.08.2020 20:05:34  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  69 107 212   7   6   1  14   3   9   1  12]]
26.08.2020 20:05:52  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  69 107 208   7   6   1  14   3   9   1  12]]
26.08.2020 20:06:17  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  69 115 106   7   6   1  14   3   9   1  12]]
26.08.2020 20:06:25  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  69 115 154   7   6   1  14   3   9   1  12]]
26.08.2020 20:06:36  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  69 115 200   7   6   1  14   3   9   1  12]]
26.08.2020 20:08:27  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  69  15 157   7   6   1  14   3   9   1  12]]
26.08.2020 20:09:01  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  69  25 209   7   6   1  14   3   9   1  12]]
26.08.2020 20:09:08  - Invalid User status E0019 for mobile status ACCP,[[87 15  5 69 25 15  7  6  1 14  3  9  1 12]]
26.08.2020 21:24:36  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  34  35 200   7   6   1  14   3   9   1  12]]
Notification 000210298350 is not locked,[[  11 1740    2    4   10]]
Notification 000220413433 is not locked,[[  11 1741    2    4   10]]
Notification 000210298370 is not locked,[[  11 1742    2    4   10]]
Notification 000210297565 is not locked,[[  11 1743    2    4   10]]
Notification 000220413150 is not locked,[[  11 1744    2    4   10]]
Notification 000220413220 is not locked,[[  11 1745    2    4   10]]
Notification 000210297644 is not locked,[[  11 1746    2    4   10]]
Notification 000210297674 is not locked,[[  11 1747    2    4   10]]
Notification 000220412991 is not locked,[[  11 1748    2    4   10]]
20.08.2020 16:54:16  - Invalid User status E0019 for mobile status ACCP,[[ 69  15   5 102 162 102   7   6   1  14   3   9   1  12]]
20.08.2020 16:55:43  - Invalid User status E0019 for mobile status ACCP,[[ 69  15   5 102 207 210   7   6   1  14   3   9   1  12]]
20.08.2020 16:58:00  - Invalid User status E0019 for mobile status ACCP,[[ 69  15   5 102 213  43   7   6   1  14   3   9   1  12]]
20.08.2020 17:02:51  - Invalid User status E0019 for mobile status ACCP,[[ 69  15   5 106  96 193   7   6   1  14   3   9   1  12]]
Notification 000210297817 is not locked,[[  11 1749    2    4   10]]
Notification 000220413008 is not locked,[[  11 1750    2    4   10]]
Notification 000210297878 is not locked,[[  11 1751    2    4   10]]
24.08.2020 07:35:53  - Invalid User status E0019 for mobile status ACCP,[[ 35  15   5   8 159 192   7   6   1  14   3   9   1  12]]
Notification 000210298018 is not locked,[[  11 1752    2    4   10]]
04.08.2020 14:38:59  - Invalid User status E0019 for mobile status ACCP,[[161  15   5  79 203 195   7   6   1  14   3   9   1  12]]
04.08.2020 14:53:18  - Invalid User status E0019 for mobile status ACCP,[[161  15   5  79 192 114   7   6   1  14   3   9   1  12]]
20.08.2020 16:33:49  - Invalid User status E0019 for mobile status ACCP,[[ 69  15   5 102 217 206   7   6   1  14   3   9   1  12]]
Notification 000210297820 is not locked,[[  11 1753    2    4   10]]
21.07.2020 17:02:05  - Invalid User status E0019 for mobile status ACCP,[[ 34   8   5 106  96 107   7   6   1  14   3   9   1  12]]
Notification 000210294742 is not locked,[[  11 1754    2    4   10]]
Notification 000220411042 is not locked,[[  11 1755    2    4   10]]
Notification 000210294914 is not locked,[[  11 1756    2    4   10]]
Notification 000210295100 is not locked,[[  11 1757    2    4   10]]
Notification 000220409773 is not locked,[[  11 1758    2    4   10]]
Notification 000220409781 is not locked,[[  11 1759    2    4   10]]
Notification 000210293204 is not locked,[[  11 1760    2    4   10]]
Notification 000220409791 is not locked,[[  11 1761    2    4   10]]
Notification 000210301762 is not locked,[[  11 1762    2    4   10]]
Notification 000220415580 is not locked,[[  11 1763    2    4   10]]
Notification 000220415614 is not locked,[[  11 1764    2    4   10]]
Notification 000220413765 is not locked,[[  11 1765    2    4   10]]
05.08.2020 22:42:04  - Invalid User status E0019 for mobile status ACCP,[[107  15   5  68 205 161   7   6   1  14   3   9   1  12]]
Notification 000220412011 is not locked,[[  11 1766    2    4   10]]
29.07.2020 02:09:21  - Invalid User status E0019 for mobile status ACCP,[[92  8  5 96 25 34  7  6  1 14  3  9  1 12]]
02.08.2020 09:54:52  - Invalid User status E0019 for mobile status ACCP,[[ 96  15   5  25 162 208   7   6   1  14   3   9   1  12]]
Notification 000210298075 is not locked,[[  11 1767    2    4   10]]
Notification 000210298126 is not locked,[[  11 1768    2    4   10]]
Notification 000210298030 is not locked,[[  11 1769    2    4   10]]
Notification 000210298120 is not locked,[[  11 1770    2    4   10]]
Notification 000210293930 is not locked,[[  11 1771    2    4   10]]
Notification 000220410820 is not locked,[[  11 1772    2    4   10]]
Notification 000210294720 is not locked,[[  11 1773    2    4   10]]
Notification 000210294922 is not locked,[[  11 1774    2    4   10]]
07.08.2020 07:11:59  - Invalid User status E0019 for mobile status ACCP,[[  8  15   5   8  73 195   7   6   1  14   3   9   1  12]]
Notification 000220414237 is not locked,[[  11 1775    2    4   10]]
Notification 000210299895 is not locked,[[  11 1776    2    4   10]]
Notification 000210299899 is not locked,[[  11 1777    2    4   10]]
Notification 000210299930 is not locked,[[  11 1778    2    4   10]]
05.07.2020 11:29:52  - Invalid User status E0019 for mobile status ACCP,[[107   8   5  73  92 208   7   6   1  14   3   9   1  12]]
05.07.2020 11:29:58  - Invalid User status E0019 for mobile status ACCP,[[107   8   5  73  92 213   7   6   1  14   3   9   1  12]]
05.07.2020 11:30:08  - Invalid User status E0019 for mobile status ACCP,[[107   8   5  73  16  15   7   6   1  14   3   9   1  12]]
05.07.2020 11:30:19  - Invalid User status E0019 for mobile status ACCP,[[107   8   5  73  16  61   7   6   1  14   3   9   1  12]]
05.07.2020 11:30:37  - Invalid User status E0019 for mobile status ACCP,[[107   8   5  73  16 199   7   6   1  14   3   9   1  12]]
05.07.2020 11:33:24  - Invalid User status E0019 for mobile status ACCP,[[107   8   5  73 217  35   7   6   1  14   3   9   1  12]]
Notification 000210295278 is not locked,[[  11 1779    2    4   10]]
29.07.2020 02:46:22  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  96 218  68   7   6   1  14   3   9   1  12]]
29.07.2020 02:46:34  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  96 218 212   7   6   1  14   3   9   1  12]]
29.07.2020 02:47:15  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  96 211  18   7   6   1  14   3   9   1  12]]
29.07.2020 02:47:26  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  96 211  87   7   6   1  14   3   9   1  12]]
29.07.2020 02:47:44  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  96 211 215   7   6   1  14   3   9   1  12]]
29.07.2020 02:47:56  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  96 211 423   7   6   1  14   3   9   1  12]]
29.07.2020 02:48:06  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  96 219 115   7   6   1  14   3   9   1  12]]
29.07.2020 02:48:37  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  96 219 199   7   6   1  14   3   9   1  12]]
29.07.2020 02:51:47  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  96 193 211   7   6   1  14   3   9   1  12]]
29.07.2020 02:52:02  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  96 208  96   7   6   1  14   3   9   1  12]]
29.07.2020 02:52:13  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  96 208 156   7   6   1  14   3   9   1  12]]
29.07.2020 22:32:05  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68 197 107   7   6   1  14   3   9   1  12]]
29.07.2020 22:35:44  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68 159 215   7   6   1  14   3   9   1  12]]
29.07.2020 22:36:40  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68 200 163   7   6   1  14   3   9   1  12]]
29.07.2020 22:37:14  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68 199  79   7   6   1  14   3   9   1  12]]
29.07.2020 22:43:50  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68 210 196   7   6   1  14   3   9   1  12]]
29.07.2020 22:43:56  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68 210 423   7   6   1  14   3   9   1  12]]
29.07.2020 22:44:18  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  68 215 114   7   6   1  14   3   9   1  12]]
Notification 000210295977 is not locked,[[  11 1780    2    4   10]]
03.08.2020 15:09:53  - Invalid User status E0019 for mobile status ACCP,[[ 89  15   5  18  25 192   7   6   1  14   3   9   1  12]]
03.08.2020 15:10:04  - Invalid User status E0019 for mobile status ACCP,[[ 89  15   5  18  29 161   7   6   1  14   3   9   1  12]]
03.08.2020 15:10:27  - Invalid User status E0019 for mobile status ACCP,[[ 89  15   5  18  29 157   7   6   1  14   3   9   1  12]]
03.08.2020 17:22:45  - Invalid User status E0019 for mobile status ACCP,[[ 89  15   5 106  68 143   7   6   1  14   3   9   1  12]]
03.08.2020 17:27:43  - Invalid User status E0019 for mobile status ACCP,[[ 89  15   5 106 157 210   7   6   1  14   3   9   1  12]]
03.08.2020 17:29:35  - Invalid User status E0019 for mobile status ACCP,[[ 89  15   5 106  92 159   7   6   1  14   3   9   1  12]]
03.08.2020 17:31:29  - Invalid User status E0019 for mobile status ACCP,[[ 89  15   5 106 164  92   7   6   1  14   3   9   1  12]]
Notification 000220414692 is not locked,[[  11 1781    2    4   10]]
Notification 000210300683 is not locked,[[  11 1782    2    4   10]]
Notification 000220414877 is not locked,[[  11 1783    2    4   10]]
21.09.2020 09:39:49  - Invalid User status E0019 for mobile status ACCP,[[ 34  25   5  25 188 206   7   6   1  14   3   9   1  12]]
21.09.2020 09:41:20  - Invalid User status E0019 for mobile status ACCP,[[ 34  25   5  25 189  69   7   6   1  14   3   9   1  12]]
21.09.2020 09:41:59  - Invalid User status E0019 for mobile status ACCP,[[ 34  25   5  25 189 195   7   6   1  14   3   9   1  12]]
Notification 000220414909 is not locked,[[  11 1784    2    4   10]]
21.09.2020 23:06:32  - Invalid User status E0019 for mobile status ACCP,[[ 34  25   5  19 115 197   7   6   1  14   3   9   1  12]]
Notification 000220415278 is not locked,[[  11 1785    2    4   10]]
Notification 000210300498 is not locked,[[  11 1786    2    4   10]]
Notification 000210300580 is not locked,[[  11 1787    2    4   10]]
Notification 000220414812 is not locked,[[  11 1788    2    4   10]]
Notification 000220414913 is not locked,[[  11 1789    2    4   10]]
Notification 000210295895 is not locked,[[  11 1790    2    4   10]]
02.08.2020 07:44:06  - Invalid User status E0019 for mobile status ACCP,[[ 96  15   5   8 215 115   7   6   1  14   3   9   1  12]]
02.08.2020 09:59:00  - Invalid User status E0019 for mobile status ACCP,[[ 96  15   5  25 195  43   7   6   1  14   3   9   1  12]]
02.08.2020 22:40:56  - Invalid User status E0019 for mobile status ACCP,[[ 96  15   5  68 163 423   7   6   1  14   3   9   1  12]]
02.08.2020 22:41:42  - Invalid User status E0019 for mobile status ACCP,[[ 96  15   5  68 189 205   7   6   1  14   3   9   1  12]]
02.08.2020 22:42:51  - Invalid User status E0019 for mobile status ACCP,[[ 96  15   5  68 205 193   7   6   1  14   3   9   1  12]]
Notification 000210298266 is not locked,[[  11 1791    2    4   10]]
Notification 000210298354 is not locked,[[  11 1792    2    4   10]]
Notification 000210298396 is not locked,[[  11 1793    2    4   10]]
Notification 000220414642 is not locked,[[  11 1794    2    4   10]]
Notification 000210300542 is not locked,[[  11 1795    2    4   10]]
19.09.2020 14:37:38  - Invalid User status E0019 for mobile status ACCP,[[ 61  25   5  79 199 203   7   6   1  14   3   9   1  12]]
21.09.2020 22:35:17  - Invalid User status E0019 for mobile status ACCP,[[ 34  25   5  68 159 106   7   6   1  14   3   9   1  12]]
21.09.2020 22:50:36  - Invalid User status E0019 for mobile status ACCP,[[ 34  25   5  68 196 200   7   6   1  14   3   9   1  12]]
Notification 000210301154 is not locked,[[  11 1796    2    4   10]]
03.09.2020 21:07:40  - Invalid User status E0019 for mobile status ACCP,[[ 89  25   5  34   8 163   7   6   1  14   3   9   1  12]]
Notification 000220412054 is not locked,[[  11 1797    2    4   10]]
03.09.2020 16:54:39  - Invalid User status E0019 for mobile status ACCP,[[ 89  25   5 102 162 188   7   6   1  14   3   9   1  12]]
03.09.2020 16:58:31  - Invalid User status E0019 for mobile status ACCP,[[ 89  25   5 102 213 164   7   6   1  14   3   9   1  12]]
03.09.2020 16:59:16  - Invalid User status E0019 for mobile status ACCP,[[ 89  25   5 102 195 102   7   6   1  14   3   9   1  12]]
03.09.2020 17:00:13  - Invalid User status E0019 for mobile status ACCP,[[ 89  25   5 106  43 156   7   6   1  14   3   9   1  12]]
03.09.2020 17:03:55  - Invalid User status E0019 for mobile status ACCP,[[ 89  25   5 106  89 207   7   6   1  14   3   9   1  12]]
03.09.2020 17:04:33  - Invalid User status E0019 for mobile status ACCP,[[ 89  25   5 106 161 217   7   6   1  14   3   9   1  12]]
03.09.2020 17:04:59  - Invalid User status E0019 for mobile status ACCP,[[ 89  25   5 106 161 195   7   6   1  14   3   9   1  12]]
03.09.2020 17:05:32  - Invalid User status E0019 for mobile status ACCP,[[ 89  25   5 106 107 197   7   6   1  14   3   9   1  12]]
03.09.2020 17:55:48  - Invalid User status E0019 for mobile status ACCP,[[ 89  25   5 106 207 219   7   6   1  14   3   9   1  12]]
Notification 000210297105 is not locked,[[  11 1798    2    4   10]]
14.08.2020 15:43:42  - Invalid User status E0019 for mobile status ACCP,[[ 79  15   5  18 210 205   7   6   1  14   3   9   1  12]]
14.08.2020 15:47:28  - Invalid User status E0019 for mobile status ACCP,[[ 79  15   5  18 211 158   7   6   1  14   3   9   1  12]]
Notification 000210297142 is not locked,[[  11 1799    2    4   10]]
Notification 000210297146 is not locked,[[  11 1800    2    4   10]]
Notification 000210297205 is not locked,[[  11 1801    2    4   10]]
Notification 000210297202 is not locked,[[  11 1802    2    4   10]]
Notification 000210297091 is not locked,[[  11 1803    2    4   10]]
Notification 000210292566 is not locked,[[  11 1804    2    4   10]]
Notification 000210292620 is not locked,[[  11 1805    2    4   10]]
30.06.2020 05:00:54  - Invalid User status E0019 for mobile status ACCP,[[ 16 115   5 107  43 162   7   6   1  14   3   9   1  12]]
Notification 000210292842 is not locked,[[  11 1806    2    4   10]]
02.07.2020 07:02:05  - Invalid User status E0019 for mobile status ACCP,[[ 96   8   5   8  96 107   7   6   1  14   3   9   1  12]]
02.07.2020 07:03:33  - Invalid User status E0019 for mobile status ACCP,[[ 96   8   5   8  89 217   7   6   1  14   3   9   1  12]]
Notification 000210292918 is not locked,[[  11 1807    2    4   10]]
02.07.2020 13:58:55  - Invalid User status E0019 for mobile status ACCP,[[ 96   8   5 156 213 207   7   6   1  14   3   9   1  12]]
02.07.2020 14:01:14  - Invalid User status E0019 for mobile status ACCP,[[ 96   8   5  79 209  79   7   6   1  14   3   9   1  12]]
02.07.2020 14:02:46  - Invalid User status E0019 for mobile status ACCP,[[ 96   8   5  79  96 218   7   6   1  14   3   9   1  12]]
05.08.2020 22:42:16  - Invalid User status E0019 for mobile status ACCP,[[107  15   5  68 205 102   7   6   1  14   3   9   1  12]]
02.07.2020 13:59:16  - Invalid User status E0019 for mobile status ACCP,[[ 96   8   5 156 195 102   7   6   1  14   3   9   1  12]]
02.08.2020 07:57:38  - Invalid User status E0019 for mobile status ACCP,[[ 96  15   5   8 221 203   7   6   1  14   3   9   1  12]]
Notification 000220415468 is not locked,[[  11 1808    2    4   10]]
Notification 000220415562 is not locked,[[  11 1809    2    4   10]]
Notification 000220415566 is not locked,[[  11 1810    2    4   10]]
Notification 000220415590 is not locked,[[  11 1811    2    4   10]]
Notification 000210301958 is not locked,[[  11 1812    2    4   10]]
01.10.2020 12:14:15  - Invalid User status E0019 for mobile status ACCP,[[209  29   5 120  79  18   7   6   1  14   3   9   1  12]]
Notification 000210301949 is not locked,[[  11 1813    2    4   10]]
19.09.2020 14:36:43  - Invalid User status E0019 for mobile status ACCP,[[ 61  25   5  79 200 210   7   6   1  14   3   9   1  12]]
Notification 000220414870 is not locked,[[  11 1814    2    4   10]]
Notification 000210300796 is not locked,[[  11 1815    2    4   10]]
21.09.2020 22:31:23  - Invalid User status E0019 for mobile status ACCP,[[ 34  25   5  68 164  19   7   6   1  14   3   9   1  12]]
Notification 000210300859 is not locked,[[  11 1816    2    4   10]]
21.09.2020 22:49:04  - Invalid User status E0019 for mobile status ACCP,[[ 34  25   5  68 206 161   7   6   1  14   3   9   1  12]]
21.09.2020 22:53:57  - Invalid User status E0019 for mobile status ACCP,[[ 34  25   5  68 192 221   7   6   1  14   3   9   1  12]]
21.09.2020 22:58:09  - Invalid User status E0019 for mobile status ACCP,[[ 34  25   5  68 213  25   7   6   1  14   3   9   1  12]]
Notification 000220415088 is not locked,[[  11 1817    2    4   10]]
Notification 000210301163 is not locked,[[  11 1818    2    4   10]]
Notification 000220415295 is not locked,[[  11 1819    2    4   10]]
Notification 000220412952 is not locked,[[  11 1820    2    4   10]]
20.08.2020 16:53:21  - Invalid User status E0019 for mobile status ACCP,[[ 69  15   5 102 192  34   7   6   1  14   3   9   1  12]]
20.08.2020 16:54:34  - Invalid User status E0019 for mobile status ACCP,[[ 69  15   5 102 162 212   7   6   1  14   3   9   1  12]]
20.08.2020 16:57:14  - Invalid User status E0019 for mobile status ACCP,[[ 69  15   5 102 221  79   7   6   1  14   3   9   1  12]]
08/24/2020 07:40:59  - Invalid User status E0019 for mobile status ACCP,[[ 15  35   5   8 163 195   7   6   1  14   3   9   1  12]]
26.08.2020 20:11:16  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  69  73 102   7   6   1  14   3   9   1  12]]
26.08.2020 20:11:26  - Invalid User status E0019 for mobile status ACCP,[[87 15  5 69 73 87  7  6  1 14  3  9  1 12]]
26.08.2020 20:11:36  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  69  73 200   7   6   1  14   3   9   1  12]]
26.08.2020 20:13:58  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  69 156 213   7   6   1  14   3   9   1  12]]
26.08.2020 20:15:16  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  69  18 102   7   6   1  14   3   9   1  12]]
26.08.2020 20:15:28  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  69  18 158   7   6   1  14   3   9   1  12]]
26.08.2020 20:18:43  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  69 114 210   7   6   1  14   3   9   1  12]]
26.08.2020 20:19:37  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  69  61 199   7   6   1  14   3   9   1  12]]
26.08.2020 20:19:50  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  69  61 196   7   6   1  14   3   9   1  12]]
26.08.2020 20:20:13  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  69  69 156   7   6   1  14   3   9   1  12]]
26.08.2020 20:21:19  - Invalid User status E0019 for mobile status ACCP,[[87 15  5 69 34 61  7  6  1 14  3  9  1 12]]
26.08.2020 20:23:14  - Invalid User status E0019 for mobile status ACCP,[[87 15  5 69 19 79  7  6  1 14  3  9  1 12]]
26.08.2020 20:24:01  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  69  35 209   7   6   1  14   3   9   1  12]]
26.08.2020 20:24:11  - Invalid User status E0019 for mobile status ACCP,[[87 15  5 69 35 73  7  6  1 14  3  9  1 12]]
26.08.2020 20:24:37  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  69  35 199   7   6   1  14   3   9   1  12]]
26.08.2020 20:24:55  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  69  35 207   7   6   1  14   3   9   1  12]]
26.08.2020 21:24:46  - Invalid User status E0019 for mobile status ACCP,[[ 87  15   5  34  35 218   7   6   1  14   3   9   1  12]]
Notification 000210298663 is not locked,[[  11 1821    2    4   10]]
Notification 000210298805 is not locked,[[  11 1822    2    4   10]]
Notification 000220411391 is not locked,[[  11 1823    2    4   10]]
29.07.2020 02:09:28  - Invalid User status E0019 for mobile status ACCP,[[ 92   8   5  96  25 158   7   6   1  14   3   9   1  12]]
Notification 000210295712 is not locked,[[  11 1824    2    4   10]]
02.08.2020 09:54:20  - Invalid User status E0019 for mobile status ACCP,[[ 96  15   5  25 162  69   7   6   1  14   3   9   1  12]]
